地名,センター,燃やせるごみ・スプレー缶,枝・葉・草,燃やせないごみ,容器プラ,雑がみ,びん・缶・ペット
中央区(1) 南4条西7丁目・8丁目（南4条通の南側のみ）,札幌センター1,月 木,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,金,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,火
中央区(1) 南5条～8条の西7丁目・8丁目（南7条西8丁目1024番地を除く）,札幌センター1,月 木,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,金,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,火
中央区(1) 南9条西4丁目～6丁目（南9条通の南側のみ）,札幌センター1,月 木,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,金,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,火
中央区(1) 南9条西7丁目～12丁目,札幌センター1,月 木,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,金,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,火
中央区(1) 南10条～13条の西5丁目～12丁目,札幌センター1,月 木,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,金,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,火
中央区(1) 南14条西5丁目,札幌センター1,月 木,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,金,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,火
中央区(1) 南14条西6丁目～12丁目（行啓通の北側のみ）,札幌センター1,月 木,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,金,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,火
中央区(2) 南14条西6丁目～12丁目（行啓通の南側のみ）,札幌センター1,月 木,20190924 20191022 20191119 20200512 20200609 20200707 20200804 20200901 20200929,20190910 20191008 20191105 20191203 20191231 20200204 20200303 20200331 20200428 20200526 20200623 20200721 20200818 20200915,水,20190903 20190917 20191001 20191015 20191029 20191112 20191126 20191210 20191224 20200114 20200128 20200211 20200225 20200310 20200324 20200407 20200421 20200505 20200519 20200602 20200616 20200630 20200714 20200728 20200811 20200825 20200908 20200922,金
中央区(2) 南15条西4丁目～12丁目,札幌センター1,月 木,20190924 20191022 20191119 20200512 20200609 20200707 20200804 20200901 20200929,20190910 20191008 20191105 20191203 20191231 20200204 20200303 20200331 20200428 20200526 20200623 20200721 20200818 20200915,水,20190903 20190917 20191001 20191015 20191029 20191112 20191126 20191210 20191224 20200114 20200128 20200211 20200225 20200310 20200324 20200407 20200421 20200505 20200519 20200602 20200616 20200630 20200714 20200728 20200811 20200825 20200908 20200922,金
中央区(2) 南16条西1丁目～12丁目,札幌センター1,月 木,20190924 20191022 20191119 20200512 20200609 20200707 20200804 20200901 20200929,20190910 20191008 20191105 20191203 20191231 20200204 20200303 20200331 20200428 20200526 20200623 20200721 20200818 20200915,水,20190903 20190917 20191001 20191015 20191029 20191112 20191126 20191210 20191224 20200114 20200128 20200211 20200225 20200310 20200324 20200407 20200421 20200505 20200519 20200602 20200616 20200630 20200714 20200728 20200811 20200825 20200908 20200922,金
中央区(2) 南17条西4丁目～15丁目,札幌センター1,月 木,20190924 20191022 20191119 20200512 20200609 20200707 20200804 20200901 20200929,20190910 20191008 20191105 20191203 20191231 20200204 20200303 20200331 20200428 20200526 20200623 20200721 20200818 20200915,水,20190903 20190917 20191001 20191015 20191029 20191112 20191126 20191210 20191224 20200114 20200128 20200211 20200225 20200310 20200324 20200407 20200421 20200505 20200519 20200602 20200616 20200630 20200714 20200728 20200811 20200825 20200908 20200922,金
中央区(2) 南17条西16・17丁目（南17条通の南側のみ）,札幌センター1,月 木,20190924 20191022 20191119 20200512 20200609 20200707 20200804 20200901 20200929,20190910 20191008 20191105 20191203 20191231 20200204 20200303 20200331 20200428 20200526 20200623 20200721 20200818 20200915,水,20190903 20190917 20191001 20191015 20191029 20191112 20191126 20191210 20191224 20200114 20200128 20200211 20200225 20200310 20200324 20200407 20200421 20200505 20200519 20200602 20200616 20200630 20200714 20200728 20200811 20200825 20200908 20200922,金
中央区(2) 南18条～30条の西○丁目,札幌センター1,月 木,20190924 20191022 20191119 20200512 20200609 20200707 20200804 20200901 20200929,20190910 20191008 20191105 20191203 20191231 20200204 20200303 20200331 20200428 20200526 20200623 20200721 20200818 20200915,水,20190903 20190917 20191001 20191015 20191029 20191112 20191126 20191210 20191224 20200114 20200128 20200211 20200225 20200310 20200324 20200407 20200421 20200505 20200519 20200602 20200616 20200630 20200714 20200728 20200811 20200825 20200908 20200922,金
中央区(3) 南3条西11丁目・12丁目（南3条通の南側のみ）,札幌センター1,月 木,20190927 20191025 20191122 20200515 20200612 20200710 20200807 20200904,20190913 20191011 20191108 20191206 20200110 20200207 20200306 20200403 20200501 20200529 20200626 20200724 20200821 20200918,火,20190906 20190920 20191004 20191018 20191101 20191115 20191129 20191213 20191227 20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200605 20200619 20200703 20200717 20200731 20200814 20200828 20200911 20200925,水
中央区(3) 南4条西9丁目・10丁目（南4条通の南側のみ）,札幌センター1,月 木,20190927 20191025 20191122 20200515 20200612 20200710 20200807 20200904,20190913 20191011 20191108 20191206 20200110 20200207 20200306 20200403 20200501 20200529 20200626 20200724 20200821 20200918,火,20190906 20190920 20191004 20191018 20191101 20191115 20191129 20191213 20191227 20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200605 20200619 20200703 20200717 20200731 20200814 20200828 20200911 20200925,水
中央区(3) 南4条西11丁目～27丁目,札幌センター1,月 木,20190927 20191025 20191122 20200515 20200612 20200710 20200807 20200904,20190913 20191011 20191108 20191206 20200110 20200207 20200306 20200403 20200501 20200529 20200626 20200724 20200821 20200918,火,20190906 20190920 20191004 20191018 20191101 20191115 20191129 20191213 20191227 20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200605 20200619 20200703 20200717 20200731 20200814 20200828 20200911 20200925,水
中央区(3) 南5条～8条の西9丁目～27丁目,札幌センター1,月 木,20190927 20191025 20191122 20200515 20200612 20200710 20200807 20200904,20190913 20191011 20191108 20191206 20200110 20200207 20200306 20200403 20200501 20200529 20200626 20200724 20200821 20200918,火,20190906 20190920 20191004 20191018 20191101 20191115 20191129 20191213 20191227 20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200605 20200619 20200703 20200717 20200731 20200814 20200828 20200911 20200925,水
中央区(3) 南7条西8丁目1024番地,札幌センター1,月 木,20190927 20191025 20191122 20200515 20200612 20200710 20200807 20200904,20190913 20191011 20191108 20191206 20200110 20200207 20200306 20200403 20200501 20200529 20200626 20200724 20200821 20200918,火,20190906 20190920 20191004 20191018 20191101 20191115 20191129 20191213 20191227 20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200605 20200619 20200703 20200717 20200731 20200814 20200828 20200911 20200925,水
中央区(3) 南9条～16条の西13丁目～23丁目,札幌センター1,月 木,20190927 20191025 20191122 20200515 20200612 20200710 20200807 20200904,20190913 20191011 20191108 20191206 20200110 20200207 20200306 20200403 20200501 20200529 20200626 20200724 20200821 20200918,火,20190906 20190920 20191004 20191018 20191101 20191115 20191129 20191213 20191227 20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200605 20200619 20200703 20200717 20200731 20200814 20200828 20200911 20200925,水
中央区(3) 南17条西16丁目・17丁目（南17条通の北側のみ）,札幌センター1,月 木,20190927 20191025 20191122 20200515 20200612 20200710 20200807 20200904,20190913 20191011 20191108 20191206 20200110 20200207 20200306 20200403 20200501 20200529 20200626 20200724 20200821 20200918,火,20190906 20190920 20191004 20191018 20191101 20191115 20191129 20191213 20191227 20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200605 20200619 20200703 20200717 20200731 20200814 20200828 20200911 20200925,水
中央区(3) 南17条西18丁目,札幌センター1,月 木,20190927 20191025 20191122 20200515 20200612 20200710 20200807 20200904,20190913 20191011 20191108 20191206 20200110 20200207 20200306 20200403 20200501 20200529 20200626 20200724 20200821 20200918,火,20190906 20190920 20191004 20191018 20191101 20191115 20191129 20191213 20191227 20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200605 20200619 20200703 20200717 20200731 20200814 20200828 20200911 20200925,水
中央区(3) 円山・双子山・界川・旭ヶ丘・伏見,札幌センター1,月 木,20190927 20191025 20191122 20200515 20200612 20200710 20200807 20200904,20190913 20191011 20191108 20191206 20200110 20200207 20200306 20200403 20200501 20200529 20200626 20200724 20200821 20200918,火,20190906 20190920 20191004 20191018 20191101 20191115 20191129 20191213 20191227 20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200605 20200619 20200703 20200717 20200731 20200814 20200828 20200911 20200925,水
中央区(3) 円山西町（9丁目5番、6番のみ）,札幌センター1,月 木,20190927 20191025 20191122 20200515 20200612 20200710 20200807 20200904,20190913 20191011 20191108 20191206 20200110 20200207 20200306 20200403 20200501 20200529 20200626 20200724 20200821 20200918,火,20190906 20190920 20191004 20191018 20191101 20191115 20191129 20191213 20191227 20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200605 20200619 20200703 20200717 20200731 20200814 20200828 20200911 20200925,水
中央区(4) 北1条西10丁目～19丁目（北1条通の北側のみ）,札幌センター1,火 金,20190923 20191021 20191118 20200511 20200608 20200706 20200803 20200831 20200928,20190909 20191007 20191104 20191202 20191230 20200203 20200302 20200330 20200427 20200525 20200622 20200720 20200817 20200914,水,20190902 20190916 20190930 20191014 20191028 20191111 20191125 20191209 20191223 20200113 20200127 20200210 20200224 20200309 20200323 20200406 20200420 20200504 20200518 20200601 20200615 20200629 20200713 20200727 20200810 20200824 20200907 20200921,木
中央区(4) 北2条西8丁目～19丁目,札幌センター1,火 金,20190923 20191021 20191118 20200511 20200608 20200706 20200803 20200831 20200928,20190909 20191007 20191104 20191202 20191230 20200203 20200302 20200330 20200427 20200525 20200622 20200720 20200817 20200914,水,20190902 20190916 20190930 20191014 20191028 20191111 20191125 20191209 20191223 20200113 20200127 20200210 20200224 20200309 20200323 20200406 20200420 20200504 20200518 20200601 20200615 20200629 20200713 20200727 20200810 20200824 20200907 20200921,木
中央区(4) 北3条・4条の西8丁目～20丁目,札幌センター1,火 金,20190923 20191021 20191118 20200511 20200608 20200706 20200803 20200831 20200928,20190909 20191007 20191104 20191202 20191230 20200203 20200302 20200330 20200427 20200525 20200622 20200720 20200817 20200914,水,20190902 20190916 20190930 20191014 20191028 20191111 20191125 20191209 20191223 20200113 20200127 20200210 20200224 20200309 20200323 20200406 20200420 20200504 20200518 20200601 20200615 20200629 20200713 20200727 20200810 20200824 20200907 20200921,木
中央区(4) 北5条～11条の西9丁目～20丁目,札幌センター1,火 金,20190923 20191021 20191118 20200511 20200608 20200706 20200803 20200831 20200928,20190909 20191007 20191104 20191202 20191230 20200203 20200302 20200330 20200427 20200525 20200622 20200720 20200817 20200914,水,20190902 20190916 20190930 20191014 20191028 20191111 20191125 20191209 20191223 20200113 20200127 20200210 20200224 20200309 20200323 20200406 20200420 20200504 20200518 20200601 20200615 20200629 20200713 20200727 20200810 20200824 20200907 20200921,木
中央区(4) 北12条～14条の西15丁目～19丁目,札幌センター1,火 金,20190923 20191021 20191118 20200511 20200608 20200706 20200803 20200831 20200928,20190909 20191007 20191104 20191202 20191230 20200203 20200302 20200330 20200427 20200525 20200622 20200720 20200817 20200914,水,20190902 20190916 20190930 20191014 20191028 20191111 20191125 20191209 20191223 20200113 20200127 20200210 20200224 20200309 20200323 20200406 20200420 20200504 20200518 20200601 20200615 20200629 20200713 20200727 20200810 20200824 20200907 20200921,木
中央区(4) 北15条～22条の西○丁目,札幌センター1,火 金,20190923 20191021 20191118 20200511 20200608 20200706 20200803 20200831 20200928,20190909 20191007 20191104 20191202 20191230 20200203 20200302 20200330 20200427 20200525 20200622 20200720 20200817 20200914,水,20190902 20190916 20190930 20191014 20191028 20191111 20191125 20191209 20191223 20200113 20200127 20200210 20200224 20200309 20200323 20200406 20200420 20200504 20200518 20200601 20200615 20200629 20200713 20200727 20200810 20200824 20200907 20200921,木
中央区(5) 大通西20丁目～28丁目,札幌センター1,火 金,20190926 20191024 20191121 20200514 20200611 20200709 20200806 20200903,20190912 20191010 20191107 20191205 20200109 20200206 20200305 20200402 20200430 20200528 20200625 20200723 20200820 20200917,月,20190905 20190919 20191003 20191017 20191031 20191114 20191128 20191212 20191226 20200116 20200130 20200213 20200227 20200312 20200326 20200409 20200423 20200507 20200521 20200604 20200618 20200702 20200716 20200730 20200813 20200827 20200910 20200924,水
中央区(5) 南1条～3条の西20丁目～28丁目,札幌センター1,火 金,20190926 20191024 20191121 20200514 20200611 20200709 20200806 20200903,20190912 20191010 20191107 20191205 20200109 20200206 20200305 20200402 20200430 20200528 20200625 20200723 20200820 20200917,月,20190905 20190919 20191003 20191017 20191031 20191114 20191128 20191212 20191226 20200116 20200130 20200213 20200227 20200312 20200326 20200409 20200423 20200507 20200521 20200604 20200618 20200702 20200716 20200730 20200813 20200827 20200910 20200924,水
中央区(5) 北1条・2条の西20丁目～28丁目,札幌センター1,火 金,20190926 20191024 20191121 20200514 20200611 20200709 20200806 20200903,20190912 20191010 20191107 20191205 20200109 20200206 20200305 20200402 20200430 20200528 20200625 20200723 20200820 20200917,月,20190905 20190919 20191003 20191017 20191031 20191114 20191128 20191212 20191226 20200116 20200130 20200213 20200227 20200312 20200326 20200409 20200423 20200507 20200521 20200604 20200618 20200702 20200716 20200730 20200813 20200827 20200910 20200924,水
中央区(5) 北3条～11条の西21丁目～30丁目,札幌センター1,火 金,20190926 20191024 20191121 20200514 20200611 20200709 20200806 20200903,20190912 20191010 20191107 20191205 20200109 20200206 20200305 20200402 20200430 20200528 20200625 20200723 20200820 20200917,月,20190905 20190919 20191003 20191017 20191031 20191114 20191128 20191212 20191226 20200116 20200130 20200213 20200227 20200312 20200326 20200409 20200423 20200507 20200521 20200604 20200618 20200702 20200716 20200730 20200813 20200827 20200910 20200924,水
中央区(5) 北12条西20丁目～23丁目,札幌センター1,火 金,20190926 20191024 20191121 20200514 20200611 20200709 20200806 20200903,20190912 20191010 20191107 20191205 20200109 20200206 20200305 20200402 20200430 20200528 20200625 20200723 20200820 20200917,月,20190905 20190919 20191003 20191017 20191031 20191114 20191128 20191212 20191226 20200116 20200130 20200213 20200227 20200312 20200326 20200409 20200423 20200507 20200521 20200604 20200618 20200702 20200716 20200730 20200813 20200827 20200910 20200924,水
中央区(5) 北14条西20丁目,札幌センター1,火 金,20190926 20191024 20191121 20200514 20200611 20200709 20200806 20200903,20190912 20191010 20191107 20191205 20200109 20200206 20200305 20200402 20200430 20200528 20200625 20200723 20200820 20200917,月,20190905 20190919 20191003 20191017 20191031 20191114 20191128 20191212 20191226 20200116 20200130 20200213 20200227 20200312 20200326 20200409 20200423 20200507 20200521 20200604 20200618 20200702 20200716 20200730 20200813 20200827 20200910 20200924,水
中央区(5) 宮の森・宮ヶ丘・盤渓,札幌センター1,火 金,20190926 20191024 20191121 20200514 20200611 20200709 20200806 20200903,20190912 20191010 20191107 20191205 20200109 20200206 20200305 20200402 20200430 20200528 20200625 20200723 20200820 20200917,月,20190905 20190919 20191003 20191017 20191031 20191114 20191128 20191212 20191226 20200116 20200130 20200213 20200227 20200312 20200326 20200409 20200423 20200507 20200521 20200604 20200618 20200702 20200716 20200730 20200813 20200827 20200910 20200924,水
中央区(5) 円山西町（9丁目5番、6番を除く）,札幌センター1,火 金,20190926 20191024 20191121 20200514 20200611 20200709 20200806 20200903,20190912 20191010 20191107 20191205 20200109 20200206 20200305 20200402 20200430 20200528 20200625 20200723 20200820 20200917,月,20190905 20190919 20191003 20191017 20191031 20191114 20191128 20191212 20191226 20200116 20200130 20200213 20200227 20200312 20200326 20200409 20200423 20200507 20200521 20200604 20200618 20200702 20200716 20200730 20200813 20200827 20200910 20200924,水
中央区(6) 大通西1丁目～19丁目,札幌センター1,火 金,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,木,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,月
中央区(6) 大通東○丁目,札幌センター1,火 金,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,木,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,月
中央区(6) 南○条東○丁目,札幌センター1,火 金,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,木,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,月
中央区(6) 北○条東○丁目,札幌センター1,火 金,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,木,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,月
中央区(6) 南1条・2条の西1丁目～19丁目,札幌センター1,火 金,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,木,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,月
中央区(6) 南3条西1丁目～10丁目・13丁目～18丁目,札幌センター1,火 金,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,木,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,月
中央区(6) 南3条西11丁目・12丁目（南3条通の北側のみ）,札幌センター1,火 金,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,木,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,月
中央区(6) 南4条西1丁目～6丁目,札幌センター1,火 金,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,木,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,月
中央区(6) 南4条西7丁目～10丁目（南4条通の北側のみ）,札幌センター1,火 金,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,木,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,月
中央区(6) 南5条～8条の西1丁目～6丁目,札幌センター1,火 金,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,木,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,月
中央区(6) 南9条西1丁目～3丁目,札幌センター1,火 金,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,木,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,月
中央区(6) 南9条西4丁目～6丁目（南9条通の北側のみ）,札幌センター1,火 金,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,木,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,月
中央区(6) 南10条～15条の西1丁目～3丁目,札幌センター1,火 金,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,木,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,月
中央区(6) 北1条西1丁目～9丁目,札幌センター1,火 金,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,木,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,月
中央区(6) 北1条西10丁目～19丁目（北1条通の南側のみ）,札幌センター1,火 金,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,木,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,月
中央区(6) 北2条～4条の西1丁目～7丁目,札幌センター1,火 金,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,木,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,月
中央区(6) 北5条西1丁目～8丁目,札幌センター1,火 金,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,木,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,月
中央区(6) 中島公園,札幌センター1,火 金,20190925 20191023 20191120 20200513 20200610 20200708 20200805 20200902 20200930,20190911 20191009 20191106 20191204 20200108 20200205 20200304 20200401 20200429 20200527 20200624 20200722 20200819 20200916,木,20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191225 20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200506 20200520 20200603 20200617 20200701 20200715 20200729 20200812 20200826 20200909 20200923,月
豊平区(1) 豊平○条○丁目,札幌センター1,火 金,20190923 20191021 20191118 20200511 20200608 20200706 20200803 20200831 20200928,20190909 20191007 20191104 20191202 20191230 20200203 20200302 20200330 20200427 20200525 20200622 20200720 20200817 20200914,水,20190902 20190916 20190930 20191014 20191028 20191111 20191125 20191209 20191223 20200113 20200127 20200210 20200224 20200309 20200323 20200406 20200420 20200504 20200518 20200601 20200615 20200629 20200713 20200727 20200810 20200824 20200907 20200921,木
豊平区(1) 旭町○丁目,札幌センター1,火 金,20190923 20191021 20191118 20200511 20200608 20200706 20200803 20200831 20200928,20190909 20191007 20191104 20191202 20191230 20200203 20200302 20200330 20200427 20200525 20200622 20200720 20200817 20200914,水,20190902 20190916 20190930 20191014 20191028 20191111 20191125 20191209 20191223 20200113 20200127 20200210 20200224 20200309 20200323 20200406 20200420 20200504 20200518 20200601 20200615 20200629 20200713 20200727 20200810 20200824 20200907 20200921,木
